"title","date","time","price","venue","url","description"
"A Little Night Music Concerts at Capuchin Church","25 Nov 2025","","0 €","Capuchin Church","https://www.europaticket.com/en/event/a-little-night-music-concerts-at-capuchin-church-18909","Buy Official Tickets for A Little Night Music Concerts at Capuchin Church, Vienna. Find details about performers, programme, and prices."
"The Three Tenors In Florence","25 Nov 2025","8:30","0 €","Venue","https://www.europaticket.com/en/event/the-three-tenors-in-florence-4619-12794","Buy Tickets for The Three Tenors In Florence. Find details about performers, programme, and prices."
"Royal Swedish Opera","","","0 €","Royal Swedish Opera","https://www.europaticket.com/en/events/opera-and-ballet-1/royal-swedish-opera-264","Buy Tickets for events at Royal Swedish Opera."
"St. Michael Church Budapest Concerts","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/st--michael-church-budapest-concerts-501","Check your schedule and book your tickets for the St. Michael Church Budapest Concerts."
"OpÃ©ra Bastille","","","0 €","OpÃ©ra Bastille","https://www.europaticket.com/en/events/classical-concerts-3/opÃ©ra-bastille-2684-206","Check your schedule and book your tickets for classic concerts at OpÃ©ra Bastille."
"Crypt of St PeterÂ´s Church Concerts Vienna","11 Oct 2025","19:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/crypt-of-st-peter-s-church-concerts-vienna-489","Check your schedule and book your tickets for the Crypt of St Peter's Church Vienna."
"Turandot","25 Nov 2025","21:10","0 €","Venue","https://www.europaticket.com/en/event/turandot-119-23772","or contact us by phone."
"Lapin Agile","09 Oct 2025","21:00","0 €","","https://www.europaticket.com/en/events/cabaret-tickets-5/lapin-agile-250","Tickets Lapin Agile"
"Inside Venice Tour","25 Nov 2025","14:45","0 €","Venue","https://www.europaticket.com/en/event/inside-venice-tour-2228-7659","or contact us by phone."
"Concerts in Barcelona","22 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-barcelona-259","Buy Tickets for concerts in Barcelona"
"Fashion week","","","0 €","","https://www.europaticket.com/en/events/other-events-16/fashion-week-452","Check your schedule and book your tickets for the Fashion week."
"Munich Messe","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/munich-messe-440","Buy tickets for pop/rock concerts in Munich Messe. More info online and by phone."
"Theatre Costanzi","19 Feb 2026","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/theatre-costanzi-180","Check your schedule and purchase tickets to see the greatest artists perform live on stage at the Theatre Costanzi. Buy tickets now."
"Olympiastadion Munich","","","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/olympiastadion-munich-408","Check your schedule and come to see your favourite artists perform live on the Olympiastadion stage in Munich. Secure your tickets now."
"Classic Concerts in Naples","08 Oct 2025","20:00","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/classic-concerts-in-naples-224","Check your schedule and book your tickets for an incredible Classic Concert in Naples. Secure your seats now."
"Bellini And Vivaldi’s Four Season","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/bellini-and-vivaldi-s-four-season-25690","Buy Tickets for Bellini And Vivaldi’s Four Season at the Badia di SantÂ´Agata in Catania. Find details about performers, programme, and prices."
"Classic Ensemble Vienna St Peters Church Concerts","25 Nov 2025","21:30","0 €","Venue","https://www.europaticket.com/en/event/classic-ensemble-vienna-st-peters-church-concerts-6197-10769","Classic Ensemble Vienna performs weekly at the St. PeterÂ´s Church, one of the most beautiful baroque churches in Vienna. See the dates and book tickets online or by phone for the concerts in this unique viennese baroque church."
"Teatro Lirico Giorgio Gaber","","","0 €","Teatro Lirico Giorgio Gaber","https://www.europaticket.com/en/events/opera-and-ballet-1/teatro-lirico-giorgio-gaber-458","or contact us by phone."
"Hungarian State Opera","","","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/hungarian-state-opera-217","Check your schedule and book official tickets for representations held at the Hungarian State Opera in Budapest. Buy tickets online."
"Baroque Orchestra Vienna","09 Oct 2025","18:30","0 €","","https://www.europaticket.com/en/events/classical-concerts-3/baroque-orchestra-vienna-359","Buy tickets for Baroque Orchestra Vienna."
"Bellini and Opera","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/bellini-and-opera-20817","Buy Tickets for Bellini and Opera at the Badia di SantÂ´Agata in Catania. Find details about performers, programme, and prices."
"Ducal Venice Tour","25 Nov 2025","11:30","0 €","Venue","https://www.europaticket.com/en/event/ducal-venice-tour-5191-7704","or contact us by phone."
"Andreas Vollenweider and Friends","25 Nov 2025","22:00","0 €","Palace of Arts Mupa","https://www.europaticket.com/en/event/andreas-vollenweider-and-friends-27361","or contact us by phone."
"Vienna Supreme Orchestra at Eschenbach Palace","25 Nov 2025","21:40","0 €","Palais Eschenbach","https://www.europaticket.com/en/event/vienna-supreme-orchestra-at-eschenbach-palace-3792-13639","Buy Official Tickets for Vienna Supreme Concerts at Palais Eschenbach. Find details about performers, programme, and prices."
"A Masked Ball","25 Nov 2025","","0 €","Teatro di San Carlo","https://www.europaticket.com/en/event/a-masked-ball-3028-23357","or contact us by phone for more information about performers, program details, and ticket prices."
"Carmen Volksoper Vienna","25 Nov 2025","","0 €","Venue","https://www.europaticket.com/en/event/carmen-volksoper-vienna-1534-11275","Official tickets for Carmen Opera Show at the Volksoper Vienna, Austria. According to the beautiful and tempestuous Carmen, love is a rebellious bird, here today and gone tomorrow. Don JosÃ©, loved by the peasant girl MicaÃ«la, is bewitched by Carmen and although she temporarily encourages his advances, she soon becomes bored by him."
"Royal Albert Hall","","","0 €","Royal Albert Hall","https://www.europaticket.com/en/events/pop-rock-concerts-10/royal-albert-hall-258","Buy Tickets for concerts at Royal Albert Hall. Find details about prices."
"Tablao El Arenal","25 Nov 2025","21:30","0 €","Tablao Flamenco El Arenal","https://www.europaticket.com/en/event/tablao-el-arenal-25143","or contact us by phone."
"The Erlkings","25 Nov 2025","","0 €","Porgy & Bess - Jazz & Music Club Vienna","https://www.europaticket.com/en/event/the-erlkings-26873","or contact us by phone for more information about performers, program details, and ticket prices."
"Concerts in Prague","15 Dec 2025","20:00","0 €","","https://www.europaticket.com/en/events/pop-rock-concerts-10/concerts-in-prague-483","or contact us by phone for more information about performers, program details, and ticket prices."
"Dutch National Opera Amsterdam","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/dutch-national-opera-amsterdam-89","Buy tickets for representations held at the Dutch National Opera and enjoy your visit in Amsterdam even more. Secure your tickets now."
"Moulin Rouge Show Tickets","25 Nov 2025","23:00","0 €","Venue","https://www.europaticket.com/en/event/moulin-rouge-show-tickets-761","Tickets for Moulin Rouge Paris, online reservation for Feerie cabaret show at the Moulin Rouge in Paris."
"Tennis","","","0 €","","https://www.europaticket.com/en/events/sport-4/tennis-286","ROLEX PARIS MASTERS, Tennis, tickets"
"Piazza Napoleone","","","0 €","Piazza Napoleone","https://www.europaticket.com/en/events/classical-concerts-3/piazza-napoleone-346","Buy tickets for events at Piazza Napoleone."
"SchÃ¶nbrunn Palace and Garden Tour","25 Nov 2025","17:00","0 €","Venue","https://www.europaticket.com/en/event/schÃ¶nbrunn-palace-and-garden-tour-21000","or contact us by phone."
"Macbeth 1847","25 Nov 2025","23:00","0 €","Verdi Festival Parma","https://www.europaticket.com/en/event/macbeth-1847-4567-24919","or contact us by phone."
"Caracalla Thermal Baths Festival","","","0 €","","https://www.europaticket.com/en/events/opera-and-ballet-1/caracalla-thermal-baths-festival-226","Check the schedule and buy tickets for CaracallaÂ´s Thermal Baths Rome - Summer Season."
"Klementinum","","","0 €","Klementinum","https://www.europaticket.com/en/events/classical-concerts-3/klementinum-254","Buy Tickets for events at Klementinum. Find details about performers, programme, and prices."
"Barba Negra","23 Jan 2026","19:00","0 €","Barba Negra in Budapest","https://www.europaticket.com/en/events/pop-rock-concerts-10/barba-negra-464","or contact us by phone for more information."
"Danube Cruise with Hungarian Dinner and Live Music","25 Nov 2025","19:00","0 €","Venue","https://www.europaticket.com/en/event/danube-cruise-with-hungarian-dinner-and-live-music-1896-14078","Buy Official Tickets for Danube Cruise with Hungarian Dinner and Live Music in Budapest, Hungary. More info about programme and prices online and by phone."
"Wachau Day Tour from Vienna","25 Nov 2025","18:00","0 €","Venue","https://www.europaticket.com/en/event/wachau-day-tour-from-vienna-2186-20993","Buy Official Tickets for Wachau - Danube Valley Day Trip from Vienna. More info about schedule, programme, and prices online and by phone."
